Laboratory,Field,Latitude,Longitude,Date collected,Land use,Hg,Al,Ca,Fe,K,Mg,Na,S,Ti,Ag,As,Ba,Be,Bi,Cd,Ce,Co,Cr,Cs,Cu,Ga,In,La,Li,Mn,Mo,Nb,Ni,P,Pb,Rb,Sb,Sc,Sn,Sr,Te,Th,Tl,U,V,W,Y,Zn,Se
number,number,,,,,mg/kg,%,%,%,%,%,%,%,%,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg,mg/kg
C-284797,06co618,38.43731,-105.2567,17-Jun-06,idle,<0.02,6.35,1.64,2.55,3.25,0.79,0.89,0.03,0.24,<1,3,857,2.1,0.23,1.1,75.9,7.6,38,<5,17,16.8,0.09,32.8,21,536,0.96,8.7,16.7,720,43.4,120,0.22,9,1.7,198,<0.1,12.4,0.5,2.5,49,1,17.1,179,<0.2
C-292182,06co619,38.40773,-103.4799,28-Mar-06,pasture,0.02,4.87,0.54,2.4,2.72,0.36,0.63,0.02,0.17,<1,14,774,1.6,0.17,0.4,73.4,8.8,25,<5,16.3,11,<0.02,35.6,17,"1,020",1.24,8.9,17.5,650,25.5,103,0.88,5.6,1.1,141,<0.1,11.9,0.6,2.1,60,0.7,18.6,62,0.9
C-285091,06co620,38.41607,-103.13548,29-Mar-06,pasture,<0.02,3.53,1.47,1.3,2.4,0.22,0.55,0.02,0.11,<1,7,725,1.1,0.11,0.3,50,4.1,14,<5,7.8,8.72,<0.02,25.7,10,424,1.49,5.9,9.8,400,19.7,99.4,0.53,3.3,0.6,125,<0.1,9,0.4,1.9,36,0.4,12.9,34,0.4
C-285163,06co621,38.35421,-108.96941,13-Sep-06,BLM,<0.02,3.58,0.68,1.2,2.2,0.4,0.26,0.01,0.12,<1,9,462,1.1,0.07,0.1,31.7,3.9,20,<5,8.9,7.6,<0.02,16.7,16,205,0.52,4.1,9.9,200,17.9,68.9,0.34,4.4,0.8,75.5,<0.1,5.7,0.5,1.4,33,0.6,8.6,38,<0.2
C-292241,06co622,38.35873,-108.0468,14-Sep-06,BLM,0.02,4.16,0.98,1.7,1.19,0.36,0.81,0.02,0.17,<1,5,580,1.1,0.09,0.1,48.1,5.3,14,<5,10.5,8.83,<0.02,25.6,33,307,0.99,6.8,6.8,440,13.5,43.9,1.63,5.5,0.9,277,<0.1,6.1,0.3,1.7,47,1.1,12.6,43,<0.2
C-292359,06co623,38.36865,-107.81053,18-Jul-06,pasture,0.08,7.16,2.4,3.58,2.68,1.33,0.88,0.09,0.25,<1,12,778,1.9,0.76,1,68,13.1,40,13,61.4,17.8,0.1,33.9,58,983,2.36,10.2,20.3,"1,090",92.6,112,2.36,12.7,1.7,282,0.2,9.6,1,2.6,115,4,18.6,392,0.7
C-292188,06co624,38.4309,-106.59375,20-Jul-06,BLM,0.02,7.76,1.6,3.9,2.27,1.04,1.39,0.02,0.39,<1,5,944,2.5,0.18,0.2,98.2,14.3,62,<5,23.9,18.3,0.05,50.9,34,656,1.18,15,30.4,910,20.9,82.6,0.82,12.2,1.9,350,<0.1,13.1,0.5,2.8,104,1.1,28,95,<0.2
C-284713,06co625,38.38663,-106.31963,20-Jul-06,BLM,<0.02,8.53,2.39,3.08,3.69,0.51,2.65,0.01,0.37,<1,2,"1,260",4.2,0.11,0.2,177,10,11,<5,26.9,21.7,0.05,79.5,27,"1,550",2.52,31.8,10.2,"1,040",24.5,163,0.31,8.9,2,671,<0.1,26.9,0.6,4.6,65,2.6,27.6,73,<0.2
C-284996,06co626,38.38627,-105.07442,16-Jun-06,wetlands,0.04,6.04,2.19,2.93,2.17,0.83,0.89,0.07,0.2,<1,11,657,1.9,0.34,1.2,56.9,9.9,42,7,30.1,14.3,0.08,31,29,519,2.85,9.3,24.1,"1,070",84.9,97.9,1.37,7.5,2.5,241,0.1,10.8,0.7,3.1,100,2.1,15.6,187,1.4
C-285145,06co627,38.35314,-104.82838,16-Jun-06,state land,<0.02,4.87,8.24,2.44,1.74,0.62,1.02,0.03,0.24,<1,7,633,1.6,0.26,1.5,82.3,8.6,30,<5,18,12.2,0.06,44.3,18,471,3.04,10.8,18.7,810,50.5,70.9,1.04,7.6,1.4,422,0.2,13.7,0.7,3.2,99,1,21.1,94,1
C-290075,06co628,38.4016,-104.61178,16-Jun-06,idle,0.05,5.89,1.63,2.5,1.68,0.84,0.42,0.12,0.17,<1,16,625,1.8,0.33,1.8,50.6,8.1,52,6,47.1,11.3,0.08,26.7,33,253,4.88,8,25.5,"1,060",76.1,86.5,2.31,7.3,2.2,142,<0.1,9.4,0.9,3.5,112,0.8,16.9,286,2.1
C-290151,06co629,38.38312,-104.27711,17-Jun-06,U.S. Dept. of Transportation,<0.02,4.64,0.32,0.57,4.67,0.13,0.9,0.02,0.1,<1,1,961,1.5,0.06,0.1,45.2,1.5,5,<5,4.6,11.4,<0.02,24.1,8,132,0.4,10,3.8,200,24.1,161,0.15,1.8,0.7,110,<0.1,6.5,0.7,1,18,0.3,11.7,20,<0.2
C-292463,06co630,38.36022,-102.71956,29-Mar-06,wildlife area,<0.02,4.53,2.49,1.45,2.64,0.44,0.79,0.04,0.16,<1,5,797,1.4,1.53,0.6,49.4,6.2,25,<5,15.2,10.3,0.03,27.4,16,289,1.88,7.7,13.8,600,20.2,98.1,0.85,4.6,1.1,203,<0.1,9.1,0.7,2.5,66,1.3,14.6,62,0.5
C-285135,06co631,38.33984,-102.67166,29-Mar-06,wildlife area,<0.02,5.05,0.94,1.84,2.53,0.56,0.76,0.04,0.2,<1,6,699,1.6,0.18,0.4,76.6,6.6,29,<5,13.7,12.3,0.03,39.9,19,436,1.04,10.5,14.5,630,28.4,96.2,0.67,6.6,1.3,160,<0.1,13.2,0.7,2.5,58,0.9,17.3,58,0.6
C-292215,06co632,38.35503,-102.25124,29-Mar-06,farm,0.02,5.32,1.58,1.84,2.5,0.53,0.9,0.03,0.21,<1,6,914,1.6,0.19,0.3,63.7,7.6,30,<5,13.9,11.8,0.02,31.3,19,481,0.97,9.9,14.8,610,19.1,94.2,0.66,6.1,1.4,195,<0.1,10.6,0.5,2.2,61,0.9,17.9,55,0.3
C-292271,06co633,38.31615,-107.77483,18-Jul-06,idle,0.03,5.35,1.34,3.34,2.08,0.85,1.09,0.09,0.31,1,9,768,1.4,0.83,2.2,63.5,11.2,35,5,97.6,12.6,0.15,31.7,33,777,2,11.4,19.5,960,249,72.5,11.4,8.3,24,307,0.2,8,0.6,2.1,101,2.4,17.4,532,0.5
C-284784,06co634,38.33582,-105.80207,18-Jun-06,national forest,<0.02,6.87,0.71,3.59,2.76,1.33,1.18,0.03,0.24,<1,4,654,2.8,0.22,0.3,47.8,13.6,49,<5,26.4,18.9,0.06,20.7,46,628,1.26,11.1,30.6,870,21.9,113,0.33,12.9,1.9,111,<0.1,10,0.4,2.9,75,0.9,17.5,47,0.4
C-285203,06co635,38.33606,-105.55284,18-Jun-06,BLM,0.04,5.7,1.85,3.68,1.99,0.83,1.87,0.04,0.44,<1,4,797,2.4,0.15,0.6,111,11.7,37,<5,21.1,15.9,0.07,57.8,14,881,1.46,23.6,19,"1,330",29.2,71.8,0.26,11.6,2.2,236,<0.1,11.7,0.4,2.8,77,1.1,35.7,102,0.2
C-284883,06co636,38.34533,-104.62045,16-Jun-06,idle,0.04,5.28,1.87,2.29,1.97,0.99,0.51,0.07,0.16,<1,12,498,1.4,0.33,2.8,53.4,8,49,7,27.1,12.2,0.05,26.9,34,276,5.15,7.1,28.2,940,55.3,90.6,1.66,7.2,1.8,123,<0.1,9.2,1,3.1,117,0.8,15.7,153,2.7
C-292424,06co637,38.33496,-103.98119,28-Mar-06,idle,<0.02,4.57,0.37,0.96,3.59,0.18,0.68,0.01,0.12,<1,2,840,1.4,0.06,0.2,45.2,2.8,11,<5,4.8,10.8,<0.02,25.3,9,185,0.38,7.6,5.1,200,20.8,141,0.26,2.8,0.7,130,<0.1,6.4,0.6,1.1,30,0.4,11.8,27,<0.2
C-292238,06co638,38.33115,-103.74246,28-Mar-06,pasture,0.04,5.82,1.05,4.3,2.72,0.68,0.69,0.06,0.21,<1,39,735,1.9,0.32,0.4,64.5,11.4,46,6,29.9,13.5,0.04,34.5,33,"1,060",1.82,10.8,27.1,"1,240",32.8,114,1.83,7.9,1.6,151,<0.1,10.6,0.6,2.6,126,1.7,21.5,122,2.8
C-284779,06co639,38.32293,-103.57529,28-Mar-06,open range,<0.02,3.27,1.19,2.78,2.34,0.27,0.55,0.1,0.08,<1,31,833,1,0.16,0.6,43.7,6.9,15,<5,18,8.15,<0.02,25.3,14,480,2.38,4.2,17.2,980,22.6,94.4,1.39,3.6,0.6,142,<0.1,6.8,0.6,2.2,69,0.5,15.4,61,1.8
C-292400,06co640,38.29553,-103.04121,29-Mar-06,open range,<0.02,4.42,1.31,1.34,2.65,0.3,0.71,0.02,0.15,<1,4,713,1.2,0.1,0.3,57.6,4.5,19,<5,8.6,9.26,0.02,30.2,14,296,1.26,7.7,9.9,480,20.6,102,0.55,3.6,0.9,148,<0.1,10.2,0.6,2.2,47,0.6,15.1,41,0.5
C-285185,06co641,38.28758,-108.65802,13-Sep-06,BLM,<0.02,2.98,4.02,1.09,1.97,1.08,0.22,0.02,0.11,<1,3,551,0.9,0.11,0.2,31.3,3.8,17,<5,9.4,6.67,0.02,16.6,14,363,0.23,3.8,7.1,350,17,62.7,0.3,4.5,0.8,132,<0.1,5,0.4,6.7,54,0.5,9.2,25,0.4
C-284886,06co642,38.2818,-108.11969,14-Sep-06,national forest,0.07,3.05,0.52,1.18,0.81,0.32,0.3,0.03,0.12,<1,8,308,0.6,0.19,0.2,43.3,5,19,<5,10.1,7.43,0.02,19,20,684,0.74,4.9,7,440,14.9,45.5,1.99,3.3,1.1,153,<0.1,5.7,0.5,1.3,33,1.7,6.5,38,0.2
C-284866,06co643,38.27081,-107.23882,19-Jul-06,pasture,<0.02,7.57,2.03,4.05,2.55,0.88,1.8,0.03,0.4,<1,4,998,1.7,0.21,0.3,83.5,13.1,26,<5,22.8,15.8,0.05,39.8,23,966,1.16,13.4,12.9,"1,100",26.4,91.5,0.61,10.5,1.5,667,<0.1,11.4,0.7,2.6,101,1,18.2,95,<0.2
C-285090,06co644,38.29425,-107.21838,19-Jul-06,BLM,<0.02,6.78,4.96,4.49,1.49,0.66,1.51,0.05,0.41,<1,7,"1,090",1.6,0.13,0.4,88.8,14,21,14,17.3,16.5,0.06,45.4,15,"1,560",1.09,24.5,10,"1,730",20,77,0.31,14.5,2.8,637,<0.1,7.8,0.3,1.6,97,0.7,22.5,94,<0.2
C-290049,06co645,38.36625,-107.02312,20-Jul-06,BLM,<0.02,7.54,2.78,5.32,1.77,1.79,1.48,0.03,0.37,<1,5,633,1.6,0.15,0.2,66.8,21.9,91,<5,40.9,15,0.06,33.8,21,"1,330",1.38,10.1,50,"1,560",19.5,70.7,0.44,17.5,1.3,308,<0.1,9.8,0.4,2.4,116,0.9,20.7,101,<0.2
C-284995,06co646,38.2769,-106.73633,20-Jul-06,national forest,<0.02,8.99,3,4.79,2.43,0.97,1.98,0.02,0.41,<1,4,"1,120",1.9,0.13,0.2,75.5,17.7,31,<5,21.5,19,0.05,39.6,19,987,1.06,13.4,16.3,"1,110",20.5,60.9,0.36,12.3,1.7,696,<0.1,7.6,0.3,2.3,146,0.9,20.1,97,<0.2
C-292218,06co647,38.27085,-106.14743,20-Jul-06,BLM,<0.02,7.11,0.58,2.81,4.01,0.41,1.82,0.04,0.34,<1,4,"1,080",2.4,0.22,0.4,154,8.7,16,<5,21.2,16,0.06,70.5,14,833,1.54,20.3,8.1,870,42.1,113,0.93,7.2,1.9,276,0.2,16.3,0.6,3.4,68,1.7,19.9,129,<0.2
C-284716,06co648,38.2816,-105.52728,18-Jun-06,BLM,<0.02,4.91,5.97,5.11,1.57,1.28,1.35,0.03,0.76,<1,5,683,1.8,0.15,0.2,71.3,18.8,93,<5,31.4,15.6,0.06,38.3,17,708,0.78,15.2,44.8,850,14.8,55.2,0.37,13.8,1.2,252,<0.1,8.7,0.3,1.7,203,3.5,20.6,77,<0.2
C-284802,06co649,38.37797,-105.41013,18-Jun-06,BLM,<0.02,7.08,5.58,5.2,1.89,2.56,1.94,0.01,0.73,<1,4,855,1.4,0.1,0.2,64.6,23.1,141,<5,21.9,17,0.06,33.1,14,818,0.9,12.6,48.4,940,13.9,53.8,0.25,29.2,1.2,492,<0.1,6.3,0.2,1.3,200,0.5,18.9,60,<0.2
C-292379,06co650,38.28933,-105.16209,17-Jun-06,national forest,<0.02,7.59,1.42,2.66,2.44,0.56,1.65,0.04,0.3,<1,4,795,2.3,0.23,0.4,60.9,7.8,28,<5,19.2,17,0.16,32.3,20,538,0.91,10.8,12.6,610,123,84.6,1.11,8.6,1.8,281,<0.1,10.1,0.4,2.7,69,1,18.4,262,0.6
C-289972,06co651,38.26504,-105.08719,17-Jun-06,pasture,<0.02,7.52,1.66,2.83,2.21,0.62,1.9,0.04,0.36,<1,5,894,2.1,0.3,0.6,88.1,10.8,35,<5,22.5,17,0.05,44.6,21,784,1.38,12.5,16,920,37.4,94.4,0.51,9.6,1.6,324,<0.1,14.2,0.6,3,80,1.1,21.7,133,0.3
C-284721,06co652,38.32057,-104.81693,16-Jun-06,idle,<0.02,3.77,16.5,1.61,1.76,0.56,0.61,0.1,0.11,<1,10,463,1.2,0.2,6.4,36.4,5.3,32,<5,24.1,8.1,0.04,20.5,18,235,10.3,5,34.4,750,29.5,66.8,4.48,5.6,0.9,776,<0.1,5.8,1.4,5.2,264,0.5,15.9,128,7.2
C-292318,06co653,38.27574,-104.14607,17-Jun-06,pasture,<0.02,4.1,0.98,1.79,2.89,0.3,0.81,0.02,0.21,<1,5,779,1.2,0.17,0.2,61.7,4.8,16,<5,10.6,10,<0.02,30.8,14,325,0.85,14.1,9.3,360,24.8,104,0.51,3.9,0.9,141,<0.1,10.1,0.5,1.7,52,0.5,14.8,49,0.6
C-292476,06co654,38.27659,-104.05486,17-Jun-06,pasture,<0.02,3.88,0.26,0.49,3.16,0.11,0.67,0.01,0.07,<1,1,834,1,0.04,<0.1,33.2,1.3,7,<5,2.4,8.65,<0.02,18.1,6,96,0.23,6.4,2.5,170,17.5,127,0.21,1.5,0.4,115,<0.1,4.3,0.6,0.7,15,0.2,7.3,15,<0.2
C-284761,06co655,38.27834,-103.53854,28-Mar-06,open range,0.02,4.4,3.44,2.43,2.37,0.47,0.71,0.03,0.16,<1,14,703,1.1,0.2,0.7,62,6.3,21,<5,15.2,9.89,0.03,32,17,454,2.6,8.4,16.1,540,22.2,90.7,1.24,5.3,1,187,<0.1,9,0.7,2.4,75,0.7,16.4,60,1.3
C-285050,06co656,38.29399,-103.22775,29-Mar-06,wildlife area,<0.02,4.31,2.3,2.24,2.61,0.4,0.56,0.03,0.13,<1,18,666,1.4,0.12,0.7,52.2,7,24,<5,17.7,9.85,0.03,26.8,16,551,2.85,7.6,18.9,560,23.2,107,1.39,4.3,1,164,<0.1,9.2,0.7,2.2,77,0.6,13.6,58,1.4
C-285198,06co657,38.26749,-102.61907,29-Mar-06,wildlife area,<0.02,4.86,1.37,1.73,2.35,0.55,0.81,0.03,0.21,<1,5,679,1.7,0.18,0.3,72.1,6.6,26,<5,13.1,11.9,0.03,37.2,18,388,1.07,10.3,13.1,740,22.5,92.7,0.55,6.4,1.3,168,<0.1,12.8,0.5,2.4,54,0.9,17.5,53,0.5
C-289985,06co658,38.2458,-102.31106,29-Mar-06,farm,<0.02,5.74,3.16,1.94,1.78,0.7,0.97,0.03,0.23,<1,6,781,1.6,0.22,0.3,68.9,6.9,33,<5,17,12.4,0.03,35.7,22,468,1.05,9.1,17.1,770,19.5,92.6,0.63,6.7,1.3,216,<0.1,11.5,0.6,2.5,67,1.1,16.5,59,0.4
C-292460,06co659,38.24604,-102.20974,29-Mar-06,farm,<0.02,5.38,3.78,2.01,2.4,0.75,0.92,0.03,0.22,<1,7,735,1.9,0.19,0.3,62.4,7,31,<5,16.1,12.5,0.04,33.5,24,393,1.25,10.2,16.1,750,18.4,95,0.77,7,1.6,212,<0.1,11.2,0.6,2.7,65,1,19.2,52,0.4
C-285216,06co660,38.24625,-102.08279,29-Mar-06,pasture,<0.02,4.4,3.22,1.65,2.08,0.58,0.69,0.05,0.17,<1,6,699,1.5,0.16,0.4,55.7,6.5,31,<5,14.7,10.8,0.03,29.1,18,399,1.14,9.1,15.4,"1,320",22.2,84.6,0.63,5.7,1.1,203,<0.1,9.4,0.6,2.3,53,1.2,14.6,71,0.3
C-285037,06co661,38.2258,-108.66447,13-Sep-06,BLM,<0.02,2.22,1.69,0.73,1.53,0.74,0.18,0.02,0.07,<1,3,372,0.6,0.05,0.2,19.7,2.8,13,<5,10,4.49,<0.02,10.6,13,290,0.55,2.5,7.4,350,22.2,48.4,0.41,2.4,0.6,86,<0.1,3.3,0.3,3.7,31,0.4,5.9,26,0.3
C-292263,06co662,38.19799,-108.37816,13-Sep-06,BLM,<0.02,4.59,4.28,1.65,1.23,0.6,0.34,0.04,0.18,<1,6,418,1.3,0.17,0.2,48.1,6.1,27,<5,11.4,9.54,0.02,24.6,32,244,1.01,6.5,12.8,360,13.8,54.6,0.65,5.9,1.4,268,<0.1,8.4,0.4,2,47,0.7,14.3,44,0.5
C-292246,06co663,38.26064,-108.0453,14-Sep-06,national forest,0.05,2.74,0.6,1,1.02,0.25,0.44,0.04,0.15,<1,4,427,0.7,0.23,0.3,36.3,4.3,17,<5,12.1,5.51,<0.02,18.3,18,619,0.73,5.1,6.5,430,18.8,41.4,1.81,3.1,0.9,193,<0.1,5.2,0.3,1.4,28,1.1,8,46,<0.2
C-284828,06co664,38.21034,-107.80383,18-Jul-06,residential,0.02,2.31,0.39,0.98,0.74,0.21,0.28,0.03,0.11,<1,5,233,0.6,0.15,0.1,39.9,3.8,39,<5,9.8,5.01,<0.02,19.4,17,234,1.32,3.8,22.7,450,16.4,34.7,0.75,3,0.8,243,<0.1,5.3,0.3,1.2,26,0.7,6.5,37,0.2
C-284693,06co665,38.2813,-107.47301,19-Jul-06,BLM,<0.02,8.67,3.35,4.84,1.9,1.42,2.11,0.02,0.39,<1,3,959,1.6,0.11,<0.1,84.7,14.1,23,<5,21.3,20.5,0.05,42,34,989,1.14,12.7,10.3,810,17.4,71.8,0.22,14.3,1.2,779,<0.1,9.4,0.4,1.7,119,0.7,17.4,90,<0.2
C-284809,06co666,38.2319,-106.76088,20-Jul-06,BLM,<0.02,6.3,2.44,3.59,4.21,1.1,1.18,0.02,0.31,<1,27,742,1.9,0.25,0.2,81.1,11,15,6,16.9,17.5,0.05,38,259,706,2.69,12.6,14.8,560,19.2,124,0.53,8.2,1.8,391,<0.1,9.8,0.6,2.9,100,0.9,20.1,80,<0.2
C-289947,06co667,38.24356,-105.09009,17-Jun-06,pdle,<0.02,7.63,1.98,3.54,1.8,0.76,2.35,0.02,0.54,<1,4,"1,080",2.2,0.07,0.2,69.8,12.4,53,<5,18.3,17.1,0.04,34.7,16,694,0.94,15.3,23.2,"1,070",69.3,105,0.27,10.5,1.7,338,<0.1,11.3,0.5,2.6,107,0.6,24,83,<0.2
C-289963,06co668,38.2439,-103.7797,28-Mar-06,pasture,0.05,6.34,2.68,4.27,1.55,1,1,0.15,0.23,<1,48,"1,000",1.7,0.32,1.9,71.8,11.7,44,5,37.6,14.2,0.05,39.4,30,"1,100",4.76,9.8,33.9,"1,840",63.2,104,2.57,8.1,1.5,224,0.1,10.9,0.9,3.9,150,1,23.4,132,3.9
C-285006,06co669,38.08825,-108.82761,14-Sep-06,BLM,<0.02,2.51,1.72,1.01,1.19,0.52,0.29,0.02,0.09,<1,3,483,0.7,0.07,<0.1,25,3,10,<5,8.6,5.33,<0.02,13.5,15,262,0.46,3.5,5.8,290,9.7,43.9,0.29,2.9,0.8,91.3,<0.1,4.2,0.3,1.8,27,0.4,7.3,23,<0.2
C-284724,06co670,38.16307,-108.48188,13-Sep-06,BLM,0.03,4.12,0.71,1.33,1.34,0.5,0.43,0.05,0.15,<1,5,444,1.2,0.24,0.4,45.4,4.8,22,<5,17.1,9.53,0.04,24.2,28,343,0.9,6.4,10.3,610,23.7,63.1,0.74,5.5,1.8,95,<0.1,7.5,0.4,2.2,39,0.8,11.1,86,0.5
C-290054,06co671,38.18049,-107.61818,18-Jul-06,national forest,0.03,7.04,0.43,3.77,1.84,0.64,0.36,0.04,0.2,<1,20,476,2,0.53,2.1,50.6,14.6,67,10,39.4,15,0.06,27.1,44,325,22.4,8,36.9,"1,270",32.6,110,2.4,10.4,1.9,73,0.1,10.4,1,7.6,162,0.8,15.8,173,2.3
C-292461,06co672,38.25528,-107.16218,19-Jul-06,BLM,0.02,7.1,1.65,2.61,2.82,0.45,1.85,0.03,0.29,<1,3,"1,010",2,0.14,0.2,61.8,8.2,18,<5,14,15.5,0.04,31.8,22,"1,100",1.48,11.8,9.8,470,20.2,93.8,0.47,6.6,1.6,373,<0.1,9.5,0.4,2.6,63,1.2,16.5,80,<0.2
C-289992,06co673,38.19646,-106.53046,20-Jul-06,national forest,<0.02,8.92,2.9,3.42,2.07,0.91,2.63,0.04,0.45,<1,3,"1,330",2,0.24,0.1,88.7,13.9,21,<5,21,19,0.04,47.7,17,890,1.48,14.3,12.7,"1,280",28.5,69.5,0.32,10.1,1.5,689,<0.1,9.3,0.4,2.5,121,2.1,20.9,96,<0.2
C-292351,06co674,38.17638,-106.31263,20-Jul-06,BLM,<0.02,7.79,3.18,4.37,2.63,1.67,2.29,0.02,0.52,<1,3,"1,290",2,0.1,0.2,101,18,54,<5,32.1,19.4,0.05,49,27,"1,210",0.74,14.9,30.8,"1,390",17.1,93.6,0.25,14.5,1.7,694,<0.1,7.9,0.5,1.5,108,0.6,23.8,126,<0.2
C-284920,06co675,38.21815,-106.05095,20-Jul-06,BLM,<0.02,7.88,1.58,4.57,2.92,1.6,2.16,0.02,0.42,<1,3,913,2.3,0.12,0.2,127,14.8,62,<5,54,19.9,0.07,55.8,38,"1,140",1.76,18.2,26.4,"1,170",28.9,128,0.48,14,2.7,277,0.2,16.2,0.8,2.6,98,0.9,21.4,140,<0.2
C-284859,06co676,38.19857,-105.37925,18-Jun-06,BLM,<0.02,8.29,1.75,3.31,2.3,0.69,2.32,0.01,0.27,<1,3,863,2.3,0.07,0.1,83,10.2,31,<5,19.7,16.7,0.06,38.2,15,667,1.01,16.5,17.3,560,22.3,78.6,0.26,10.7,1.7,322,<0.1,8.6,0.4,2.2,74,0.7,24.7,73,<0.2
C-285044,06co677,38.18354,-104.51968,17-Jun-06,idle,<0.02,6.45,4,2.92,2.45,0.79,1.3,0.03,0.26,<1,8,766,2,0.27,1,88.6,9.7,31,<5,24.7,15.3,0.08,47.2,27,567,1.86,14.1,18.5,850,42.4,94.2,0.89,7.4,2.1,329,0.1,14.6,0.7,3,86,1,23.1,119,0.5
C-292256,06co678,38.19644,-103.83876,28-Mar-06,pasture,<0.02,5.22,0.91,2.15,2.92,0.51,0.72,0.04,0.19,<1,9,764,1.6,0.17,0.3,57.7,6.4,28,<5,16.1,12,0.03,30.3,20,362,1.2,9.1,14.7,760,25.7,112,0.75,6,1.3,162,<0.1,8.7,0.6,1.9,72,0.8,15.9,79,0.8
C-292259,06co679,38.19637,-103.50947,28-Mar-06,pasture,<0.02,4.89,3.7,2.2,2.31,0.69,0.79,0.02,0.2,<1,14,660,1.6,0.17,0.4,60.8,7.6,29,<5,16.8,11.2,0.02,31.3,20,381,2.02,9.8,15.9,580,22.3,88.4,0.98,6.2,1.3,197,<0.1,9.3,0.6,2.1,77,0.8,18.3,62,1
C-284805,06co680,38.1455,-103.1019,29-Mar-06,pasture,0.03,6.28,3.03,2.82,2.23,0.86,0.74,0.17,0.24,<1,8,676,1.8,0.29,0.8,78.2,11,61,6,24.7,15.7,0.08,37.4,32,505,4.09,6.8,40.3,680,49,105,0.94,9.7,2,262,<0.1,11.2,0.8,3.2,98,0.9,20,110,1
C-284941,06co681,38.1727,-102.85153,29-Mar-06,idle,0.02,5.46,8.91,2.1,1.89,0.71,0.5,0.07,0.2,<1,7,599,1.3,0.26,0.5,65.8,9,39,5,19.5,12.3,0.04,32.7,32,495,4.11,10,24.9,900,18.3,82.7,0.86,6.6,1.6,368,<0.1,11,0.8,3.8,88,0.9,16.8,86,0.6
C-292211,06co682,38.15805,-102.57546,30-Mar-06,farm,0.02,6.22,3.63,2.56,2.38,0.86,1,0.04,0.26,<1,8,748,2,0.25,0.6,81.3,9.5,35,<5,21,14,0.05,40.1,29,466,2.3,12.6,20.4,840,25.8,94.7,0.9,8.6,1.8,287,<0.1,12.6,0.6,3.1,83,1,22.9,96,0.8
C-285085,06co683,38.06335,-108.76372,14-Sep-06,BLM,<0.02,2.58,5.05,1.64,1.11,0.61,0.42,0.04,0.12,<1,6,"1,090",0.7,0.12,0.3,31.3,5.3,17,<5,9.8,6.32,0.02,16.8,16,249,1.75,3.4,9.6,360,11.7,44.8,0.33,4.3,0.7,212,<0.1,5.4,0.2,2.7,63,0.3,9.9,253,1.1
C-292242,06co684,38.11312,-108.2974,13-Sep-06,idle,<0.02,4.54,0.7,1.65,1.54,0.46,0.51,0.02,0.2,<1,6,443,1.5,0.18,0.2,53,7.1,30,<5,13.9,9.61,<0.02,26.1,27,384,1.01,7,14.3,350,20,64.4,0.68,6,5.9,86.5,<0.1,8.5,0.4,1.9,52,0.7,14.8,48,<0.2
C-292361,06co685,38.08646,-108.03832,13-Sep-06,private,<0.02,4.03,0.49,1.66,1.31,0.38,0.36,0.06,0.19,<1,8,335,1.2,0.23,0.3,48.6,5.9,27,<5,19.5,9.13,0.03,24.5,38,347,1.21,6.9,11.8,770,21.3,55.8,0.68,5.3,1.1,124,<0.1,7.8,0.4,1.8,45,0.8,10.9,64,0.4
C-284934,06co686,38.17044,-106.85365,20-Jul-06,national forest,<0.02,6.97,1.42,5.26,2.11,0.65,1.47,0.03,0.41,<1,5,827,1.9,0.26,0.3,103,18.6,26,5,15.8,19.2,0.05,45.1,23,"1,620",1.33,15.7,11.4,890,23.3,95,0.45,8,2.1,348,<0.1,11.4,0.6,2.6,136,1.2,20.4,167,<0.2
C-284998,06co687,38.12585,-106.40301,20-Jul-06,BLM,<0.02,7.45,1.9,3.75,2.86,0.42,2.16,0.02,0.31,<1,4,"1,030",2.1,0.15,0.2,93.5,9.6,14,<5,11,18.1,0.04,50,16,895,1.43,16.5,8.2,650,23.8,84.8,0.36,6.1,1.9,483,<0.1,10.6,0.4,2.7,88,0.9,22.8,92,<0.2
C-285077,06co688,38.14328,-105.81416,18-Jun-06,BLM,<0.02,6.97,0.84,3.31,2.82,1.33,1.61,0.03,0.18,<1,4,761,2.6,0.2,0.2,82.5,12.3,44,<5,33,15.9,0.05,42.6,28,840,1.19,8.2,23.3,"1,070",21,127,0.44,9.7,1.5,175,<0.1,9,0.4,2,69,1,15,50,0.2
C-292294,06co689,38.13339,-104.18594,17-Jun-06,open range,0.02,6.6,1.52,2.96,3.07,0.81,1.37,0.04,0.3,<1,11,878,2,0.24,0.7,96.2,9.4,35,<5,23.3,16,0.04,47.4,26,523,1.49,16.7,19.4,770,27.8,107,1.08,8.3,1.6,254,<0.1,14.6,0.6,2.8,86,1,27.5,79,0.9
